# Number, Name, IFAR, Pastro, GPSTime, SNR_H, SNR_L
1 GW190530_030659 0.095 0.63 1243220837.9516602 5.876 6.0
2 GW190711_030756 38.721 0.99 1246849694.628418 5.703 8.299
3 GW190707_083226 0.296 0.81 1246523564.9475098 7.028 6.344
4 GW190906_054335 0.064 0.55 1251783833.5065918 5.225 6.607
5 GW190806_033721 0.459 0.86 1249097859.923584 5.979 5.812
6 GW190818_232544 0.225 0.77 1250205962.3293457 6.921 5.986
7 GW190511_163209 0.085 0.61 1241627547.6362305 6.9 6.477
8 GW190524_134109 0.426 0.85 1242740487.3374023 4.824 6.661
9 GW190615_030234 0.195 0.75 1244602972.855957 4.908 7.104
10 GW190604_103812 0.128 0.68 1243679910.9370117 5.44 6.172
11 GW190911_195101 0.061 0.54 1252266679.5856934 5.034 7.442
12 GW190530_133833 0.058 0.53 1243258731.668213 6.182 5.634
13 GW190605_025957 0.586 0.88 1243738815.4174805 6.555 6.819
14 GW190707_093326 inf 1.0 1246527224.1262207 7.847 10.746
15 GW190728_064510 inf 1.0 1248331528.4836426 7.91 10.714
16 GW190924_021846 580.822 1.0 1253326744.7495117 5.99 10.196
17 GW190720_000836 580.822 1.0 1247616534.6589355 6.852 7.629
18 GW190512_180714 inf 1.0 1241719652.402832 5.882 10.446
19 GW190408_181802 inf 1.0 1238782700.2697754 9.253 9.997
20 GW190517_055101 inf 1.0 1242107479.8095703 6.906 7.688
21 GW190412_053044 inf 1.0 1239082262.1218262 8.899 15.656
22 GW190513_205428 inf 1.0 1241816086.727539 9.576 7.587
23 GW190828_063405 inf 1.0 1251009263.739746 10.751 12.126
24 GW190915_235702 inf 1.0 1252627040.6745605 9.611 8.781
25 GW190503_185404 580.822 1.0 1240944862.2844238 9.389 7.584
26 GW190521_074359 inf 1.0 1242459857.444336 12.585 21.207
27 GW190727_060333 inf 1.0 1248242631.9714355 8.62 8.238
28 GW190413_052954 10.19 0.98 1239168612.4865723 5.364 7.383
29 GW190926_050336 1.583 0.94 1253509434.0578613 6.977 6.035
30 GW190527_092055 4.119 0.97 1242984073.769043 5.235 7.343
31 GW190803_022701 5.639 0.97 1248834439.868164 5.895 7.277
32 GW190731_140936 4.722 0.97 1248617394.619873 5.627 6.603
33 GW190805_211137 12.907 0.99 1249074715.3286133 4.773 7.292
34 GW190519_153544 inf 1.0 1242315362.3764648 9.708 11.531
35 GW190413_134308 580.822 1.0 1239198206.7233887 4.929 8.238
36 GW190421_213856 580.822 1.0 1239917954.2399902 8.828 6.522
37 GW190909_114149 0.102 0.64 1252064527.6940918 6.436 5.997
38 GW190514_065416 2.504 0.96 1241852074.8320312 6.527 5.621
39 GW190706_222641 inf 1.0 1246487219.3149414 9.677 8.539
40 GW190719_215514 0.351 0.83 1247608532.892334 5.685 6.705
41 GW190916_200658 5.007 0.97 1252699636.878418 6.103 5.847
42 GW190602_175927 580.822 1.0 1243533585.0732422 6.82 10.586
43 GW190929_012149 1.604 0.94 1253755327.4865723 6.575 8.667
44 GW191224_043228 0.535 0.88 1261197166.1125488 5.285 6.84
45 GW200301_211019 0.07 0.56 1267132237.6452637 6.039 6.192
46 GW200106_134123 0.107 0.65 1262353301.9177246 6.51 6.719
47 GW200318_191337 0.663 0.9 1268594035.1276855 5.239 6.618
48 GW200214_223306 0.134 0.69 1265754804.9782715 6.127 5.692
49 GW200304_172806 0.114 0.66 1267378104.2041016 6.391 5.3
50 GW191113_103541 0.205 0.76 1257676559.5012207 6.035 6.252
51 GW200210_100022 0.078 0.58 1265364040.802246 5.408 5.991
52 GW200109_195634 0.235 0.78 1262635012.807373 6.526 6.016
53 GW191228_195619 0.12 0.67 1261598197.1296387 4.509 9.458
54 GW191204_171526 inf 1.0 1259514944.041504 9.778 13.605
55 GW191105_143521 15.073 0.99 1256999739.8842773 5.772 8.134
56 GW191103_012549 1.998 0.96 1256779567.4863281 6.413 6.78
57 GW191126_115259 0.999 0.92 1258804397.5930176 6.187 6.946
58 GW191129_134029 inf 1.0 1259070047.1206055 8.283 9.405
59 GW200316_215756 105.512 1.0 1268431094.1044922 5.402 7.888
60 GW200225_060421 inf 1.0 1266645879.3757324 8.755 6.939
61 GW200202_154313 7.993 0.99 1264693411.482666 4.92 9.394
62 GW191215_223052 inf 1.0 1260484270.3156738 6.929 8.241
63 GW191204_110529 14.258 0.99 1259492747.527588 5.701 8.097
64 GW200311_115853 inf 1.0 1267963151.3811035 12.498 10.41
65 GW200209_085452 2.145 0.96 1265273710.1625977 8.019 6.081
66 GW200224_222234 inf 1.0 1266618172.3850098 12.704 12.815
67 GW200208_130117 87.927 1.0 1265202095.9362793 6.473 7.938
68 GW200128_022011 527.562 1.0 1264213229.8864746 7.69 7.205
69 GW200219_094415 105.512 1.0 1266140673.185791 6.251 8.818
70 GW200220_124850 4.669 0.98 1266238148.1398926 6.468 5.994
71 GW191222_033537 0.325 0.82 1261020955.1074219 9.729 8.309
72 GW191230_180458 175.854 1.0 1261764316.3876953 7.501 7.468
73 GW191127_050227 15.073 0.99 1258866165.5310059 7.4 6.386
74 GW200216_220804 2.719 0.97 1265926102.861084 7.042 7.01
