# Number, Name, IFAR, Pastro, GPSTime, SNR_H, SNR_L
1 GW190530_030659 0.092 0.6 1243220837.9536133 5.888 6.28
2 GW190711_030756 10.959 0.99 1246849694.6296387 5.555 8.274
3 GW190707_083226 0.553 0.87 1246523564.946289 7.237 5.679
4 GW190908_161547 0.075 0.56 1251994565.616455 6.942 5.753
5 GW190818_232544 0.815 0.9 1250205962.3276367 6.776 5.955
6 GW190524_134109 0.163 0.71 1242740487.3398438 4.734 6.34
7 GW190710_150742 0.064 0.52 1246806480.4074707 4.815 6.742
8 GW190425_133124 0.338 0.81 1240234302.5874023 5.691 6.658
9 GW190605_025957 0.197 0.74 1243738815.3996582 5.519 6.715
10 GW190924_021846 290.411 1.0 1253326744.7519531 6.135 10.234
11 GW190707_093326 inf 1.0 1246527224.1271973 8.131 10.58
12 GW190728_064510 inf 1.0 1248331528.4848633 7.645 10.84
13 GW190720_000836 inf 1.0 1247616534.659912 6.937 7.886
14 GW190930_133541 3.397 0.97 1253885759.1989746 6.689 7.348
15 GW190725_174728 0.555 0.87 1248112066.416748 5.348 7.884
16 GW190412_053044 inf 1.0 1239082262.136963 8.991 16.365
17 GW190828_065509 inf 1.0 1251010527.8659668 7.79 7.668
18 GW190512_180714 inf 1.0 1241719652.402832 6.514 10.955
19 GW190408_181802 inf 1.0 1238782700.270996 10.323 10.41
20 GW190828_063405 inf 1.0 1251009263.7409668 10.913 11.954
21 GW190513_205428 inf 1.0 1241816086.729248 9.539 7.949
22 GW190517_055101 inf 1.0 1242107479.805664 7.377 7.763
23 GW190915_235702 inf 1.0 1252627040.6760254 9.894 8.653
24 GW190503_185404 inf 1.0 1240944862.2819824 9.371 7.228
25 GW190521_074359 inf 1.0 1242459857.4458008 12.363 21.062
26 GW190727_060333 inf 1.0 1248242631.9726562 8.646 8.056
27 GW190421_213856 inf 1.0 1239917954.2460938 8.507 6.678
28 GW190413_052954 12.627 0.99 1239168612.4875488 5.463 7.343
29 GW190803_022701 12.907 0.99 1248834439.8688965 5.761 6.831
30 GW190527_092055 1.923 0.95 1242984073.7697754 5.185 7.148
31 GW190719_215514 0.773 0.9 1247608532.9057617 5.778 6.257
32 GW190909_114149 0.175 0.72 1252064527.697998 5.962 5.934
33 GW190514_065416 2.112 0.95 1241852074.8330078 6.466 5.632
34 GW190916_200658 1.832 0.94 1252699636.885254 5.977 6.219
35 GW190926_050336 1.744 0.94 1253509434.057129 6.842 5.245
36 GW190805_211137 1.132 0.92 1249074715.3234863 4.86 6.897
37 GW190731_140936 1.098 0.92 1248617394.616455 5.431 6.629
38 GW190519_153544 inf 1.0 1242315362.3740234 9.537 11.408
39 GW190413_134308 64.536 1.0 1239198206.7211914 4.914 8.202
40 GW190706_222641 inf 1.0 1246487219.3120117 9.563 8.507
41 GW190602_175927 inf 1.0 1243533585.074707 6.823 10.622
42 GW190929_012149 193.607 1.0 1253755327.4890137 6.601 7.622
43 GW190521_030229 inf 1.0 1242442967.4309082 8.012 10.73
44 GW191224_043228 0.371 0.82 1261197166.1225586 6.05 7.069
45 GW191213_204950 0.092 0.61 1260305408.1289062 5.213 7.429
46 GW200106_134123 0.254 0.78 1262353301.911621 6.157 6.097
47 GW200318_191337 3.908 0.96 1268594035.1257324 5.349 6.621
48 GW200129_114245 2.284 0.95 1264333383.097412 5.057 6.76
49 GW200214_223306 0.281 0.79 1265754804.9804688 5.798 5.556
50 GW200319_022728 0.227 0.76 1268620066.534912 5.384 6.583
51 GW200104_184028 0.669 0.88 1262198446.1965332 6.82 5.482
52 GW200114_020818 0.16 0.71 1263002916.2368164 5.502 12.22
53 GW200109_195634 1.139 0.92 1262635012.8098145 6.323 6.116
54 GW200210_035448 0.077 0.57 1265342106.243164 4.866 6.633
55 GW191117_023843 0.058 0.52 1257993541.8017578 6.529 5.398
56 GW191129_134029 inf 1.0 1259070047.1384277 8.928 10.099
57 GW191204_171526 inf 1.0 1259514944.0427246 9.883 13.813
58 GW191105_143521 26.378 0.99 1256999739.8859863 5.888 7.94
59 GW191103_012549 6.513 0.98 1256779567.4875488 6.616 7.131
60 GW191126_115259 0.33 0.81 1258804397.59375 6.044 7.246
61 GW200316_215756 131.89 1.0 1268431094.104004 6.003 8.628
62 GW200225_060421 inf 1.0 1266645879.375 10.143 7.684
63 GW191215_223052 inf 1.0 1260484270.3171387 7.331 8.328
64 GW191204_110529 2.207 0.94 1259492747.5283203 6.05 8.424
65 GW200306_093714 0.19 0.74 1267522652.1037598 6.273 6.118
66 GW200311_115853 inf 1.0 1267963151.3825684 12.341 10.678
67 GW200129_065458 inf 1.0 1264316116.4160156 14.616 18.641
68 GW200224_222234 inf 1.0 1266618172.3862305 12.739 12.798
69 GW200208_130117 527.562 1.0 1265202095.9372559 6.351 7.828
70 GW200219_094415 527.562 1.0 1266140673.1870117 6.264 8.775
71 GW200209_085452 16.486 0.99 1265273710.159912 7.739 6.066
72 GW191222_033537 inf 1.0 1261020955.1091309 9.147 8.279
73 GW200128_022011 inf 1.0 1264213229.8828125 7.487 7.421
74 GW200220_124850 0.972 0.91 1266238148.137207 6.196 5.674
75 GW191230_180458 inf 1.0 1261764316.3894043 7.844 7.509
76 GW191109_010717 inf 1.0 1257296855.2043457 9.134 12.883
77 GW191127_050227 16.486 0.99 1258866165.5351562 7.223 6.269
78 GW200216_220804 2.762 0.95 1265926102.8625488 6.908 6.501
79 GW200220_061928 0.108 0.64 1266214786.63208 4.759 6.884
